Nazwa,Adres,Adres do mapy,Typ kuchni,Dzielnica,Ceny,Ocena,Opinii,Opis,Godziny,Pieszo Rama9,Pieszo Sukh101,Link
Sababa Mediterranean Izakaya,"53 S. Torsak Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","53 S. Torsak Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Watthana,,4.8,252,"Sababa Mediterranean Izakaya to eleganckie i przyjazne zwierzętom miejsce o domowej atmosferze, które wyróżnia się innowacyjnym podejściem do świeżych składników. Warto zamówić tu przede wszystkim tartę tatin z jabłkami oraz tatara z tuńczyka, choć należy przygotować się na dość wysokie ceny i niewielkie porcje dań. To świetny punkt na kolację z przyjaciółmi, doceniany za serdeczną obsługę i wyjątkowy, przytulny klimat.",Pon: Closed | Wt: 3:00 – 11:00 PM | Śr: 3:00 – 11:00 PM | Czw: 3:00 – 11:00 PM | Pt: 3:00 PM – 12:00 AM | Sob: 3:00 PM – 12:00 AM | Ndz: 12:00 – 11:00 PM,3.5,6.7,https://www.google.com/maps/search/?api=1&query=53+S.+Torsak+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJXbT5OQCf4jARYgE488vV-Uk
Honobono Ramen,"633 Sukhumvit 103 Rd, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand","633 Sukhumvit 103 Rd, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",Japońska,Sukhumvit,,4.7,248,"To autentyczne miejsce serwuje tradycyjny ramen z bogatym wywarem, w którym szczególną uwagę zwraca wyjątkowo delikatna pierś z kurczaka oraz pyszne gyoza. Lokal wyróżnia się kameralną atmosferą z miejscami przy ladzie i bardzo przyjazną obsługą, oferując wysoką jakość dań w przystępnej cenie wraz z bezpłatnym parkingiem.",Pon: 11:00 AM – 8:00 PM | Wt: 11:00 AM – 8:00 PM | Śr: 11:00 AM – 8:00 PM | Czw: 11:00 AM – 8:00 PM | Pt: 11:00 AM – 8:00 PM | Sob: 11:00 AM – 8:00 PM | Ndz: 11:00 AM – 8:00 PM,12.9,3.1,https://www.google.com/maps/search/?api=1&query=633+Sukhumvit+103+Rd%2C+Khwaeng+Bang+Chak%2C+Khet+Phra+Khanong%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJdSBCFABfHTER2StD4EwDMC4
Yurijin Izakaya & Japanese Dining,"Thanon Ratchadaphisek, ดินแดง Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand","Thanon Ratchadaphisek, ดินแดง Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",Japońska,Din Daeng,,4.7,236,"To miejsce serwuje autentyczne dania japońskie w rozsądnych cenach, w tym wyjątkowo świeże sushi, sake oraz kurczaka namban. Restauracja wyróżnia się przyjemną atmosferą z muzyką na żywo i ogródkiem, a goście mogą obserwować kucharzy przy pracy dzięki otwartemu stanowisku „chef station”. Jest to idealny lokal zarówno na spotkanie w grupie, jak i na romantyczną randkę.",Pon: 11:30 AM – 11:00 PM | Wt: 11:30 AM – 11:00 PM | Śr: 11:30 AM – 11:00 PM | Czw: 11:30 AM – 11:00 PM | Pt: 11:30 AM – 11:00 PM | Sob: 12:00 – 11:00 PM | Ndz: 12:00 – 11:00 PM,1.1,10.5,https://www.google.com/maps/search/?api=1&query=Thanon+Ratchadaphisek%2C+%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%94%E0%B8%87+Khet+Din+Daeng%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJ65-DIEWf4jARQGBAS4vFor8
otsu izakaya おつ (โอสึ),"248, 6 Debaratna Rd, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand","248, 6 Debaratna Rd, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",Japońska,Bang Na,,4.9,234,"Otsu Izakaya to przytulny lokal wyróżniający się nowoczesnym wystrojem i fenomenalnymi szaszłykami z grilla węglowego, zwłaszcza z boczku, ryby saba oraz serc i udek kurczaka. Warto spróbować również sycącego kociołka ryżowego z owocami morza, gulaszu wieprzowego z ramenem oraz świeżego sashimi z unikalnym sosem sezamowym miso. Miejsce oferuje relaksującą atmosferę z dobrą muzyką i gościnną obsługą, idealną na spokojną kolację przy zimnym piwie.",Pon: Closed | Wt: 5:00 PM – 12:30 AM | Śr: 5:00 PM – 12:30 AM | Czw: 5:00 PM – 12:30 AM | Pt: 5:00 PM – 12:30 AM | Sob: 5:00 PM – 1:30 AM | Ndz: 5:00 PM – 1:30 AM,13.0,3.1,https://www.google.com/maps/search/?api=1&query=248%2C+6+Debaratna+Rd%2C+Khwaeng+Bang+Na%2C+Khet+Bang+Na%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJfwYQx5dfHTER2aAXx6vPIsg
Sho Ryu Ramen (Sukhumvit 66/1),"107 1 ซอย สุขุมวิท 66/1 Bang Na Nuea, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand","107 1 ซอย สุขุมวิท 66/1 Bang Na Nuea, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",Japońska,Bang Na,,4.9,213,"Sho Ryu Ramen to prawdziwa perełka serwująca ramen z rzemieślniczą pasją, który wyróżnia się bogatym, głębokim w smaku wywarem oraz idealnie sprężystym makaronem. To doskonałe miejsce na późny posiłek w przystępnej cenie, chwalone przez gości za dopracowane składniki oraz sprawną obsługę.",Pon: 12:00 PM – 4:30 AM | Wt: 12:00 PM – 4:30 AM | Śr: 12:00 PM – 4:30 AM | Czw: 12:00 PM – 4:30 AM | Pt: 12:00 PM – 4:30 AM | Sob: 12:00 PM – 4:30 AM | Ndz: 12:00 PM – 4:30 AM,11.3,1.6,https://www.google.com/maps/search/?api=1&query=107+1+%E0%B8%8B%E0%B8%AD%E0%B8%A2+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+66%2F1+Bang+Na+Nuea%2C+Khet+Bang+Na%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJk1ylh2Gh4jARfDTThrP2PJs
寿司庭Sushi Niwa Bangkok,"39/5 Soi Ruam Rudi 2, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand","39/5 Soi Ruam Rudi 2, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",Japońska,Pathum Wan,,4.5,211,"Sushi Niwa Bangkok oferuje luksusowe doświadczenie omakase oparte na świeżych składnikach sprowadzanych prosto z Japonii, wśród których szczególnym uznaniem cieszą się sushi oraz uni. Miejsce wyróżnia się kreatywnością szefa kuchni oraz unikalną, multimedialną oprawą „team lab” na blatach, która nadaje posiłkowi nowoczesny i niezapomniany charakter. To idealny wybór na specjalne okazje, chwalony za autentyczną atmosferę oraz troskliwą obsługę pomagającą w tłumaczeniu menu.","Pon: 12:00 – 2:30 PM, 5:30 – 10:00 PM | Wt: 12:00 – 2:30 PM, 5:30 – 10:00 PM | Śr: 12:00 – 2:30 PM, 5:30 – 10:00 PM | Czw: 12:00 – 2:30 PM, 5:30 – 10:00 PM | Pt: 12:00 – 2:30 PM, 5:30 – 10:00 PM | Sob: 12:00 – 2:30 PM, 5:30 – 10:00 PM | Ndz: 12:00 – 2:30 PM, 5:30 – 10:00 PM",3.9,9.6,https://www.google.com/maps/search/?api=1&query=39%2F5+Soi+Ruam+Rudi+2%2C+Khwaeng+Lumphini%2C+Pathum+Wan%2C+Krung+Thep+Maha+Nakhon+10330%2C+Thailand&query_place_id=ChIJr2BoZd6e4jARGN0coXj_YCI
MISO RAMEN CHIKURA BKK / Ramen Restaurant,"595 /9 Soi Sukhumvit 33/1, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","595 /9 Soi Sukhumvit 33/1, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Sukhumvit,,4.6,196,"To popularne wśród Japończyków miejsce wyróżnia się wyjątkowo gęstym, kremowym i intensywnym w smaku bulionem, szczególnie polecanym w daniach Spicy Scallion Miso oraz tsukemen. Warto zamówić tutejsze gyoza z unikalnym sosem i wybrać miejsce przy barze, aby z bliska obserwować proces opalania mięsa chashu. Szybka obsługa i autentyczne smaki sprawiają, że to doskonały wybór dla miłośników sycącego ramenu.",Pon: 11:00 AM – 10:00 PM | Wt: 11:00 AM – 10:00 PM | Śr: 11:00 AM – 10:00 PM | Czw: 11:00 AM – 10:00 PM | Pt: 11:00 AM – 10:00 PM | Sob: 11:00 AM – 10:00 PM | Ndz: 11:00 AM – 10:00 PM,3.6,6.7,https://www.google.com/maps/search/?api=1&query=595+%2F9+Soi+Sukhumvit+33%2F1%2C+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJ240sp1af4jARKW1TmG954W4
麺屋 NARUTO กรุงเทพ สุขุมวิท ราเมง,"No, 9 สุขุมวิท 26 Khlongtun, เขตคลองเตย กรุงเทพมหานคร 10110, Thailand","No, 9 สุขุมวิท 26 Khlongtun, เขตคลองเตย กรุงเทพมหานคร 10110, Thailand",Japońska,,,4.3,177,"Ta autentyczna ramenownia w stylu Hokkaido słynie z wyrazistego miso ramen, pikantnych wariantów oraz sycącego Jiro Ramen z górą warzyw, czosnku i grubym makaronem. Goście szczególnie polecają soczysty boczek (pork belly), chrupiące pierożki gyoza oraz buta kimchi, chwaląc przy tym smaki porównywalne do tych w Japonii. Miejsce wyróżnia się darmową wodą dla klientów oraz przystępnymi cenami, a na deser warto zamówić lody z brązowym cukrem.",Pon: 11:30 AM – 12:00 AM | Wt: 11:30 AM – 12:00 AM | Śr: 11:30 AM – 12:00 AM | Czw: 11:30 AM – 12:00 AM | Pt: 11:30 AM – 12:00 AM | Sob: 11:30 AM – 12:00 AM | Ndz: 11:30 AM – 12:00 AM,3.8,6.3,https://www.google.com/maps/search/?api=1&query=No%2C+9+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+26+Khlongtun%2C+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%95%E0%B8%A2+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10110%2C+Thailand&query_place_id=ChIJf4T_Xzmf4jAROJcovGHy6HI
SHOYU STAND,"ชั้น M, The Commons Thonglor, แขวง คลองตัน, Watthana, Krung Thep Maha Nakhon 10110, Thailand","ชั้น M, The Commons Thonglor, แขวง คลองตัน, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Thonglor,,4.5,176,"SHOYU STAND przyciąga miłośników ramenu swoim flagowym Shoyu Ramen, który wyróżnia się sprężystym makaronem al dente oraz esencjonalnym bulionem o głębokim smaku umami z lekką nutą słodyczy. W kameralnej atmosferze lokalu goście mogą obserwować proces przygotowywania dań, doceniając wysoką jakość składników, takich jak perfekcyjnie ugotowane jajko czy delikatne chashu. To idealne miejsce na prosty, autentyczny posiłek serwowany przez przyjazną obsługę w samym sercu Bangkoku.",Pon: 11:00 AM – 10:00 PM | Wt: 11:00 AM – 10:00 PM | Śr: 11:00 AM – 10:00 PM | Czw: 11:00 AM – 10:00 PM | Pt: 11:00 AM – 10:00 PM | Sob: 11:00 AM – 10:00 PM | Ndz: 11:00 AM – 10:00 PM,4.0,6.6,https://www.google.com/maps/search/?api=1&query=%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+M%2C+The+Commons+Thonglor%2C+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B8%B1%E0%B8%99%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJCaNrAMqf4jARiBDtNxl_KBA
TEN-SHOW Live Kitchen / Japanese Cuisine Restaurant,"12Soi Sukhumvit 24, Sukhumvit Rd.,, Khlong Toei 12 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","12Soi Sukhumvit 24, Sukhumvit Rd.,, Khlong Toei 12 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Sukhumvit,,4.8,171,"Ta autentyczna japońska restauracja w dzielnicy Phrom Phong oferuje unikalne doświadczenie „live kitchen”, podczas którego można obserwować szefa kuchni przygotowującego sushi bezpośrednio przy barze. Goście szczególnie polecają tempurę z węgorza, luksusowy ramen (wymagający wcześniejszej rezerwacji) oraz bardzo obfite zestawy obiadowe, które ze względu na wielkość warto zamawiać do dzielenia się. Miejsce wyróżnia się świeżością składników na poziomie premium, hojnymi porcjami uni oraz dbałością o estetykę podania dań.","Pon: Closed | Wt: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Śr: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Czw: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Pt: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Sob: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Ndz: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM",3.9,6.6,https://www.google.com/maps/search/?api=1&query=12Soi+Sukhumvit+24%2C+Sukhumvit+Rd.%2C%2C+Khlong+Toei+12+Soi+Sukhumvit+24%2C+Khwaeng+Khlong+Tan%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJLRVFjHWf4jARYiH1cIDj64o
Kozue Omakase Thonglor,"Town Hall Sukhumvit 49, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","Town Hall Sukhumvit 49, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Sukhumvit,,4.7,171,"Kozue Omakase Thonglor to eleganckie i kameralne miejsce, które wyróżnia się wyjątkowo świeżymi składnikami oraz doskonałym stosunkiem jakości do ceny. Warto spróbować szczególnie polecanego przez gości uni z chlebem węglowym (charcoal bread), serwowanego przez doświadczonego i niezwykle przyjaznego szefa kuchni. Restauracja idealnie nadaje się na specjalne okazje, oferując dopracowane wizualnie dania oraz gościnną atmosferę sprzyjającą świętowaniu.",Pon: 12:00 – 10:00 PM | Wt: 12:00 – 10:00 PM | Śr: 12:00 – 10:00 PM | Czw: 12:00 – 10:00 PM | Pt: 12:00 – 10:00 PM | Sob: 12:00 – 10:00 PM | Ndz: 12:00 – 10:00 PM,3.5,6.4,https://www.google.com/maps/search/?api=1&query=Town+Hall+Sukhumvit+49%2C+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJ71-DLCKf4jARrmU8bZU4X9w
Yoki Sushi & Japanese Fusion,"29/1 ถนน สุขุมวิท 101/1 Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand","29/1 ถนน สุขุมวิท 101/1 Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",Japońska,Phra Khanong,,4.3,166,"To miejsce wyróżnia się świeżymi składnikami i wyjątkowym, rozpływającym się w ustach łososiem oraz chwalonym przez gości zapiekanym sushi (baked sushi). Restauracja oferuje bogate menu w przystępnych cenach, w tym darmową zieloną herbatę i dolewki zupy, a także atrakcyjne zniżki na pojedyncze porcje sushi. Całość dopełnia przyjazna obsługa, przytulne wnętrze oraz dostępny dla klientów parking.",Pon: 12:00 – 10:00 PM | Wt: 12:00 – 10:00 PM | Śr: 12:00 – 10:00 PM | Czw: 12:00 – 10:00 PM | Pt: 12:00 – 10:00 PM | Sob: 12:00 – 10:00 PM | Ndz: 12:00 – 10:00 PM,10.8,0.9,https://www.google.com/maps/search/?api=1&query=29%2F1+%E0%B8%96%E0%B8%99%E0%B8%99+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+101%2F1+Khwaeng+Bang+Chak%2C+Khet+Phra+Khanong%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJj81xbAKg4jARcBtH4kgC4P8
Lust Ramen One Udomsuk - โครงการ วัน อุดมสุข,"38 Soi Panittha, Bang Na Nuea, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand","38 Soi Panittha, Bang Na Nuea, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",Japońska,Bang Na,,4.7,161,"Lust Ramen to miejsce oferujące świetny stosunek jakości do ceny, gdzie warto spróbować kremowego Tonkotsu, pikantnego Hell Ramen lub chrupiącego kurczaka karaage. Menu wyróżnia się także smacznym Pork Teriyaki Don oraz opcjami wegańskimi, takimi jak ramen grzybowy czy pomidorowy, a wszystko to serwowane jest w czystym lokalu z przyjemną atmosferą.",Pon: 10:00 AM – 10:00 PM | Wt: 10:00 AM – 10:00 PM | Śr: 10:00 AM – 10:00 PM | Czw: 10:00 AM – 10:00 PM | Pt: 10:00 AM – 10:00 PM | Sob: 10:00 AM – 10:00 PM | Ndz: 10:00 AM – 10:00 PM,11.2,1.4,https://www.google.com/maps/search/?api=1&query=38+Soi+Panittha%2C+Bang+Na+Nuea%2C+Khet+Bang+Na%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJzwWhisOh4jARv4cv_neCMS4
Maison Mizuki,"189 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","189 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Sukhumvit,,4.9,151,"Maison Mizuki to jedna z najlepszych restauracji japońskich w Bangkoku, wyróżniająca się wyjątkowo świeżym sashimi o grubych cięciach (szczególnie otoro i chutoro) oraz doskonale przyrządzoną wołowiną wagyu. Warto zamówić zestaw sushi MaiZon, salmon lava lub sezonowe specjały, takie jak soba z truflami i małżami hotate, a wizytę dopełnić drinkiem z fantastycznego baru. Goście chwalą miejsce za wysoką jakość składników, przyjemną atmosferę oraz niezwykłą gościnność personelu.",Pon: 5:00 PM – 1:00 AM | Wt: 5:00 PM – 1:00 AM | Śr: 5:00 PM – 1:00 AM | Czw: 5:00 PM – 1:00 AM | Pt: 5:00 PM – 1:00 AM | Sob: 5:00 PM – 1:00 AM | Ndz: 5:00 PM – 1:00 AM,2.8,8.1,https://www.google.com/maps/search/?api=1&query=189+Sukhumvit+Rd%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJVWipRHWf4jARVdX7OBFiR9c
Hachicken Ramen (Emsphere),"GM Floor, 628 ถ. สุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110, Thailand","GM Floor, 628 ถ. สุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110, Thailand",Japońska,,,4.5,150,"Hachicken Ramen to miejsce słynące z wyśmienitego, aromatycznego, a zarazem lekkiego bulionu drobiowego paitan, który klienci polecają szczególnie w wersji shio (solnej) z dodatkiem kurczaka i kaczki. Lokal wyróżnia się błyskawiczną i niezwykle uprzejmą obsługą oraz doskonałym stosunkiem jakości do ceny, oferując także smaczne przystawki, takie jak karaage czy spring rollsy. Mimo niewielkiej przestrzeni w centrum handlowym, restauracja uznawana jest za jeden z najlepszych punktów z ramenem w Bangkoku.",Pon: 10:00 AM – 9:30 PM | Wt: 10:00 AM – 9:30 PM | Śr: 10:00 AM – 9:30 PM | Czw: 10:00 AM – 9:30 PM | Pt: 10:00 AM – 9:30 PM | Sob: 10:00 AM – 9:30 PM | Ndz: 10:00 AM – 9:30 PM,3.3,6.9,https://www.google.com/maps/search/?api=1&query=GM+Floor%2C+628+%E0%B8%96.+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B8%B1%E0%B8%99+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%95%E0%B8%A2+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10110%2C+Thailand&query_place_id=ChIJExzDT0uf4jARl-6W4oG-AoQ
縁 Yukari Japanese restaurant,"14/2 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","14/2 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Sukhumvit,,4.9,134,"To doskonałe miejsce na kolację, słynące z dużych porcji oraz świeżych dań, takich jak znakomity ramen, yakisoba czy onigiri z grillowanym serem. Restauracja wyróżnia się swobodną atmosferą i bardzo miłą obsługą, która sprawnie serwuje aromatyczne potrawy i pyszne desery, np. lody matcha mochi.",Pon: 3:30 – 11:15 PM | Wt: 3:30 – 11:15 PM | Śr: 3:30 – 11:15 PM | Czw: 3:30 – 11:15 PM | Pt: 3:30 – 11:15 PM | Sob: 12:00 – 11:15 PM | Ndz: 12:00 – 11:15 PM,3.1,7.1,https://www.google.com/maps/search/?api=1&query=14%2F2+Soi+Sukhumvit+33%2C+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJiZPQNACf4jARvE8BNl9jPwg
Hashiri,"61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand","61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",Japońska,Pathum Wan,,4.6,128,"Hashiri to elegancka restauracja japońska słynąca z dopracowanego menu degustacyjnego w przystępnej cenie, w którym szczególną uwagę zwracają soba z abalone (awabi) oraz soczysty stek Wagyu A4 Picanha. Goście polecają również zestawy lunchowe z sukiyaki lub tofu oraz maki z krabem i przegrzebkami, podkreślając przy tym wysoką jakość świeżych składników. Miejsce wyróżnia się wyjątkowo serdeczną, uważną obsługą oraz estetycznym sposobem podania wszystkich potraw.","Pon: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Wt: Closed | Śr: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Czw: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Pt: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Sob: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Ndz: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM",3.7,9.4,https://www.google.com/maps/search/?api=1&query=61+Thanon+Witthayu%2C+Khwaeng+Lumphini%2C+Pathum+Wan%2C+Krung+Thep+Maha+Nakhon+10330%2C+Thailand&query_place_id=ChIJ_6tIbeqf4jARKRiQmCjgQtE
TOMOFUKU RAMEN,"2 Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","2 Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Japońska,Watthana,,4.3,67,"TOMOFUKU RAMEN, prowadzone przez cenionego szefa Sasadę, słynie z autorskiego shio ramen na bazie wywaru drobiowego oraz wyjątkowego tsukemenu z sosem ankimo (z wątroby żabnicy). Goście polecają również aromatyczne shio mala i ramen shoyu z nutą yuzu, choć należy liczyć się z wyższymi cenami oraz dodatkowymi opłatami za składniki takie jak jajko. Miejsce wyróżnia się unikalnymi kompozycjami smakowymi i miłą obsługą, mimo że porcje dla niektórych mogą być mało sycące.","Pon: Closed | Wt: 11:30 AM – 3:00 PM, 5:00 – 8:00 PM | Śr: 11:30 AM – 3:00 PM, 5:00 – 8:00 PM | Czw: 11:30 AM – 3:00 PM, 5:00 – 8:00 PM | Pt: 11:30 AM – 3:00 PM, 5:00 – 8:00 PM | Sob: 11:30 AM – 3:00 PM, 5:00 – 8:00 PM | Ndz: 11:30 AM – 3:00 PM, 5:00 – 8:00 PM",2.9,8.2,https://www.google.com/maps/search/?api=1&query=2+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJy-T31Jyf4jAR7LmqjtVjAuE
Japanese Fusion Restaurant Ginsui / Sushi Restaurant,"Ambassador Hotel Bangkok, Share Space area 1 st Floor. no.171 Sukhunvit Road Sub - district, Klongtoey Nua, เขตวัฒนา กรุงเทพมหานคร 10110, Thailand","Ambassador Hotel Bangkok, Share Space area 1 st Floor. no.171 Sukhunvit Road Sub - district, Klongtoey Nua, เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",Japońska,,,4.8,34,"To „ukryty klejnot” w Bangkoku, który wyróżnia się autentyczną kuchnią przygotowywaną przez doświadczonego szefa oraz niezwykle świeżymi rybami. Goście szczególnie polecają salmon Alaska roll, ume shiso pasta oraz sushi, które dosłownie rozpływa się w ustach, a wszystko to w bardzo przystępnych cenach i przy profesjonalnej obsłudze. Szukając najlepszych wrażeń, warto zdecydować się na miejsce bezpośrednio przy ladzie, by obserwować pracę kucharza.",Pon: 11:30 AM – 11:00 PM | Wt: 11:30 AM – 11:00 PM | Śr: 11:30 AM – 11:00 PM | Czw: 11:30 AM – 11:00 PM | Pt: 11:30 AM – 11:00 PM | Sob: 11:30 AM – 11:00 PM | Ndz: 11:30 AM – 11:00 PM,2.7,8.4,https://www.google.com/maps/search/?api=1&query=Ambassador+Hotel+Bangkok%2C+Share+Space+area+1+st+Floor.+no.171+Sukhunvit+Road+Sub+-+district%2C+Klongtoey+Nua%2C+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10110%2C+Thailand&query_place_id=ChIJoeg1J2ef4jARox66-Wjhv4Q
